"Data","Último","Abertura","Máxima","Mínima","Var%","média"
"01.07.2009","2,6576","2,7403","2.8194","2.634","-3,02%","2,7267"
"01.06.2009","2,7405","2,7843","2.8408","2.6632","-1,79%","2,752"
"01.05.2009","2,7905","2,8966","2.919","2.7701","-3,65%","2,8446"
"01.04.2009","2,8963","3,0700","3.0774","2.83","-5,64%","2,9537"
"01.03.2009","3,0694","3,0191","3.1099","2.9337","1,30%","3,0218"
"01.02.2009","3,0301","2,9615","3.0915","2.8434","2,12%","2,9674"
"01.01.2009","2,9672","3,2317","3.2811","2.8822","-8,30%","3,0816"
"01.12.2008","3,2357","2,9291","3.4838","2.9059","10,66%","3,1948"
"01.11.2008","2,9240","2,7593","3.1428","2.7079","6,11%","2,9254"
"01.10.2008","2,7557","2,6927","3.362","2.6572","2,40%","3,0096"
"01.09.2008","2,6910","2,3948","2.9096","2.379","12,50%","2,6443"
"01.08.2008","2,3919","2,4426","2.4521","2.3754","-2,15%","2,4138"
"01.07.2008","2,4444","2,5265","2.5623","2.4224","-3,27%","2,4924"
"01.06.2008","2,5271","2,5297","2.5884","2.4784","-0,11%","2,5334"
"01.05.2008","2,5298","2,5942","2.6364","2.5232","-2,58%","2,5798"
"01.04.2008","2,5967","2,7665","2.7723","2.5924","-6,26%","2,6824"
"01.03.2008","2,7702","2,5679","2.786","2.5292","7,87%","2,6576"
"01.02.2008","2,5682","2,6127","2.6302","2.5055","-1,79%","2,5678"
"01.01.2008","2,6151","2,5943","2.6747","2.5602","0,70%","2,6174"
"01.12.2007","2,5968","2,6304","2.705","2.5519","-1,31%","2,6284"
"01.11.2007","2,6312","2,5131","2.7831","2.4925","4,61%","2,6378"
"01.10.2007","2,5152","2,6154","2.6233","2.5036","-3,84%","2,5634"
"01.09.2007","2,6157","2,6770","2.7181","2.5911","-2,49%","2,6546"
"01.08.2007","2,6825","2,5723","2.8678","2.5481","4,23%","2,708"
"01.07.2007","2,5736","2,6106","2.6596","2.5326","-1,47%","2,5961"
"01.06.2007","2,6121","2,5821","2.6658","2.5418","1,10%","2,6038"
"01.05.2007","2,5838","2,7748","2.7823","2.5771","-6,95%","2,6797"
"01.04.2007","2,7769","2,7507","2.7856","2.6951","0,97%","2,7404"
"01.03.2007","2,7503","2,8019","2.8384","2.6907","-2,00%","2,7646"
"01.02.2007","2,8064","2,7654","2.8483","2.6817","1,36%","2,765"
"01.01.2007","2,7688","2,8173","2.8553","2.7422","-1,82%","2,7988"
"01.12.2006","2,8202","2,8654","2.9011","2.7963","-1,62%","2,8487"
"01.11.2006","2,8666","2,7332","2.8965","2.7093","4,84%","2,8029"
"01.10.2006","2,7343","2,7499","2.7754","2.6558","-0,76%","2,7156"
"01.09.2006","2,7553","2,7423","2.8571","2.7088","0,40%","2,783"
"01.08.2006","2,7442","2,7768","2.8228","2.7192","-1,28%","2,771"
"01.07.2006","2,7797","2,7676","2.826","2.7192","0,35%","2,7726"
"01.06.2006","2,7699","2,9519","2.9738","2.7382","-6,19%","2,856"
"01.05.2006","2,9527","2,6329","3.0736","2.594","11,96%","2,8338"
"01.04.2006","2,6373","2,6229","2.6665","2.568","0,57%","2,6173"
"01.03.2006","2,6223","2,5292","2.7059","2.5072","3,59%","2,6066"
"01.02.2006","2,5313","2,6868","2.7093","2.4931","-5,85%","2,6012"
"01.01.2006","2,6887","2,7677","2.8381","2.6549","-2,90%","2,7465"
"01.12.2005","2,7691","2,5955","2.8819","2.5261","6,59%","2,704"
"01.11.2005","2,5980","2,7006","2.7161","2.5177","-3,75%","2,6169"
"01.10.2005","2,6991","2,6765","2.8066","2.6483","0,70%","2,7274"
"01.09.2005","2,6803","2,9044","2.9743","2.6541","-7,82%","2,8142"
"01.08.2005","2,9078","2,8850","3.0227","2.7951","0,73%","2,9089"
"01.07.2005","2,8868","2,8251","3.0155","2.7787","2,09%","2,8971"
"01.06.2005","2,8277","2,9456","3.064","2.8179","-4,65%","2,941"
"01.05.2005","2,9657","3,2500","3.3081","2.9133","-8,88%","3,1107"
"01.04.2005","3,2546","3,4717","3.4793","3.2327","-6,33%","3,356"
"01.03.2005","3,4744","3,4345","3.7271","3.4104","1,33%","3,5688"
"01.02.2005","3,4289","3,3990","3.4953","3.3095","0,86%","3,4024"
"01.01.2005","3,3998","3,5962","3.6169","3.3948","-5,60%","3,5058"
"01.12.2004","3,6013","3,6114","3.7115","3.5692","-0,39%","3,6404"
"01.11.2004","3,6155","3,6604","3.6784","3.568","-1,09%","3,6232"
"01.10.2004","3,6555","3,5528","3.7043","3.4523","2,81%","3,5783"
"01.09.2004","3,5555","3,5636","3.5899","3.4624","-0,33%","3,5262"
"01.08.2004","3,5671","3,6626","3.7475","3.5353","-2,28%","3,6414"
"01.07.2004","3,6503","3,7569","3.8189","3.6306","-2,92%","3,7248"
"01.06.2004","3,7600","3,8843","3.9113","3.7058","-3,24%","3,8086"
"01.05.2004","3,8861","3,5163","3.9052","3.5011","10,58%","3,7032"
"01.04.2004","3,5143","3,5646","3.5844","3.4207","-1,42%","3,5026"
"01.03.2004","3,5650","3,6272","3.6446","3.4709","-1,66%","3,5578"
"01.02.2004","3,6250","3,6587","3.8164","3.6073","-0,94%","3,7118"
"01.01.2004","3,6593","3,6391","3.6812","3.4806","0,53%","3,5809"
"01.12.2003","3,6399","3,5263","3.6701","3.4853","3,01%","3,5777"
"01.11.2003","3,5337","3,3183","3.5444","3.2481","6,42%","3,3962"
"01.10.2003","3,3205","3,3706","3.4125","3.2701","-1,55%","3,3413"
"01.09.2003","3,3727","3,2699","3.4375","3.1754","3,13%","3,3064"
"01.08.2003","3,2704","3,3288","3.4973","3.1866","-1,87%","3,342"
"01.07.2003","3,3328","3,2668","3.3917","3.1639","2,06%","3,2778"
"01.06.2003","3,2655","3,4793","3.5207","3.2447","-6,84%","3,3827"
"01.05.2003","3,5051","3,2523","3.6522","3.2373","7,65%","3,4448"
"01.04.2003","3,2561","3,6724","3.6774","3.1845","-11,42%","3,431"
"01.03.2003","3,6757","3,8445","3.9558","3.5439","-4,65%","3,7498"
"01.02.2003","3,8550","3,7884","3.9933","3.6991","2,16%","3,8462"
"01.01.2003","3,7734","3,7082","4.0099","3.3699","1,52%","3,6899"
"01.12.2002","3,7168","3,6268","3.884","3.487","2,30%","3,6855"
"01.11.2002","3,6331","3,5860","3.7581","3.4699","0,47%","3,614"
"01.10.2002","3,6160","3,7047","3.9595","3.456","-2,55%","3,7078"
"01.09.2002","3,7106","2,9468","3.9095","2.9408","25,63%","3,4252"
"01.08.2002","2,9535","3,3581","3.3723","2.756","-12,70%","3,0641"
"01.07.2002","3,3832","2,7899","3.5591","2.7496","21,08%","3,1544"
"01.06.2002","2,7941","2,3471","2.8594","2.3383","18,79%","2,5988"
"01.05.2002","2,3521","2,1242","2.3774","2.1209","10,66%","2,2492"
"01.04.2002","2,1255","2,0240","2.1473","1.9818","4,86%","2,0646"
"01.03.2002","2,0269","2,0534","2.1143","2.0048","-1,32%","2,0595"
"01.02.2002","2,0541","2,0709","2.1856","2.0151","-0,85%","2,1003"
"01.01.2002","2,0717","2,0541","2.19","2.0374","0,59%","2,1137"
"01.12.2001","2,0595","2,2336","2.2379","1.9974","-7,93%","2,1176"
"01.11.2001","2,2369","2,4268","2.5164","2.1487","-7,78%","2,3326"
"01.10.2001","2,4257","2,4297","2.5873","2.3894","-0,35%","2,4884"
"01.09.2001","2,4341","2,3321","2.6059","2.2592","4,04%","2,4326"
"01.08.2001","2,3396","2,1657","2.3676","2.1339","7,97%","2,2508"
"01.07.2001","2,1669","1,9644","2.2322","1.9483","10,34%","2,0902"
"01.06.2001","1,9639","2,0110","2.1326","1.9302","-2,50%","2,0314"
"01.05.2001","2,0142","1,9554","2.0721","1.947","3,05%","2,0096"
"01.04.2001","1,9546","1,8813","2.0793","1.8787","3,39%","1,979"
"01.03.2001","1,8906","1,8899","1.9567","1.8598","0,06%","1,9082"
"01.02.2001","1,8894","1,8459","1.8921","1.7875","2,37%","1,8398"
"01.01.2001","1,8456","1,8365","1.8765","1.7863","0,43%","1,8314"
"01.12.2000","1,8377","1,7261","1.8382","1.7066","6,42%","1,7724"
"01.11.2000","1,7269","1,6111","1.7305","1.6055","7,06%","1,668"
"01.10.2000","1,6130","1,6292","1.6338","1.5602","-1,00%","1,597"
"01.09.2000","1,6293","1,6197","1.6729","1.554","0,52%","1,6134"
"01.08.2000","1,6208","1,6516","1.6631","1.5959","-1,89%","1,6295"
"01.07.2000","1,6520","1,7197","1.7305","1.6335","-4,03%","1,682"
"01.06.2000","1,7213","1,7080","1.7497","1.6856","0,61%","1,7176"
"01.05.2000","1,7109","1,6449","1.729","1.6013","3,92%","1,6652"
"01.04.2000","1,6463","1,6567","1.7275","1.6285","-0,73%","1,678"
"01.03.2000","1,6584","1,7039","1.7266","1.6479","-2,75%","1,6872"
"01.02.2000","1,7053","1,7297","1.8032","1.6648","-1,42%","1,734"
"01.01.2000","1,7298","1,8130","1.9425","1.7238","-4,90%","1,8332"
"01.12.1999","1,8190","1,9395","1.9488","1.7833","-6,24%","1,866"
"01.11.1999","1,9401","2,0537","2.0639","1.9245","-5,61%","1,9942"
"01.10.1999","2,0553","2,0669","2.1721","2.0343","-0,68%","2,1032"
"01.09.1999","2,0694","2,0251","2.0817","1.9228","2,13%","2,0022"
"01.08.1999","2,0263","1,9245","2.1222","1.8922","4,96%","2,0072"
"01.07.1999","1,9305","1,8149","1.9521","1.7843","6,35%","1,8682"
"01.06.1999","1,8152","1,7922","1.8888","1.7784","1,26%","1,8336"
"01.05.1999","1,7927","1,7615","1.8695","1.7311","1,83%","1,8003"
"01.04.1999","1,7605","1,8472","1.8792","1.747","-4,83%","1,8131"
"01.03.1999","1,8498","2,2293","2.4055","1.8436","-17,55%","2,1246"
"01.02.1999","2,2436","2,3571","2.3647","1.9479","-5,32%","2,1563"
"01.01.1999","2,3697","2,3521","2.4362","2.1865","67,30%","2,3114"
"01.12.1998","1,4164","1,4159","1.4164","1.4159","1,61%","1,4162"
"01.11.1998","1,3939","1,3933","1.3939","1.3933","-1,71%","1,3936"
"01.10.1998","1,4181","1,4174","1.4181","1.4174","1,52%","1,4177"
"01.09.1998","1,3968","1,3959","1.3968","1.3959","5,03%","1,3964"
"01.08.1998","1,3299","1,3291","1.3299","1.3291","3,07%","1,3295"
"01.07.1998","1,2903","1,2897","1.2903","1.2897","1,86%","1,29"
"01.06.1998","1,2667","1,2660","1.2667","1.266","-0,17%","1,2664"
"01.05.1998","1,2689","1,2682","1.2689","1.2682","0,69%","1,2685"
"01.04.1998","1,2602","1,2596","1.2602","1.2596","2,93%","1,2599"
"01.03.1998","1,2243","1,2240","1.2243","1.224","-0,46%","1,2241"
"01.02.1998","1,2299","1,2292","1.2299","1.2292","1,50%","1,2296"
"01.01.1998","1,2117","1,2100","1.2117","1.21","-1,22%","1,2108"
"01.12.1997","1,2267","1,2260","1.2267","1.226","-1,51%","1,2264"
"01.11.1997","1,2455","1,2449","1.2455","1.2449","-1,17%","1,2452"
"01.10.1997","1,2603","1,2596","1.2603","1.2596","3,39%","1,2599"
"01.09.1997","1,2190","1,2186","1.219","1.2186","2,65%","1,2188"
"01.08.1997","1,1875","1,1868","1.1875","1.1868","2,17%","1,1872"
"01.07.1997","1,1623","1,1617","1.1623","1.1617","-4,16%","1,162"
"01.06.1997","1,2128","1,2122","1.2128","1.2122","-0,69%","1,2125"
"01.05.1997","1,2212","1,2206","1.2212","1.2206","2,03%","1,2209"
"01.04.1997","1,1969","1,1963","1.1969","1.1963","-3,23%","1,1966"
"01.03.1997","1,2369","1,2361","1.2369","1.2361","2,63%","1,2365"
"01.02.1997","1,2052","1,2046","1.2052","1.2046","-2,29%","1,2049"
"01.01.1997","1,2335","1,2329","1.2335","1.2329","-5,33%","1,2332"
"01.12.1996","1,3029","1,3021","1.3029","1.3021","0,61%","1,3025"
"01.11.1996","1,2950","1,2944","1.295","1.2944","-0,31%","1,2947"
"01.10.1996","1,2990","1,2982","1.299","1.2982","1,73%","1,2986"
"01.09.1996","1,2769","1,2761","1.2769","1.2761","-1,32%","1,2765"
"01.08.1996","1,2940","1,2932","1.294","1.2932","-0,07%","1,2936"
"01.07.1996","1,2949","1,2941","1.2949","1.2941","3,72%","1,2945"
"01.06.1996","1,2484","1,2475","1.2484","1.2475","0,92%","1,2479"
"01.05.1996","1,2370","1,2362","1.237","1.2362","1,64%","1,2366"
"01.04.1996","1,2171","1,2166","1.2171","1.2166","-1,87%","1,2168"
"01.03.1996","1,2403","1,2399","1.2403","1.2399","0,37%","1,2401"
"01.02.1996","1,2357","1,2350","1.2357","1.235","2,39%","1,2354"
"01.01.1996","1,2069","1,2064","1.2069","1.2064","-2,83%","1,2066"
"01.12.1995","1,2420","1,2409","1.242","1.2409","0,80%","1,2414"
"01.11.1995","1,2322","1,2317","1.2322","1.2317","-1,51%","1,2319"
"01.10.1995","1,2511","1,2503","1.2511","1.2503","1,21%","1,2507"
"01.09.1995","1,2361","1,2355","1.2361","1.2355","2,17%","1,2358"
"01.08.1995","1,2099","1,2091","1.2099","1.2091","-3,47%","1,2095"
"01.07.1995","1,2534","1,2529","1.2534","1.2529","2,36%","1,2532"
"01.06.1995","1,2245","1,2237","1.2245","1.2237","3,62%","1,2241"
"01.05.1995","1,1817","1,1806","1.1817","1.1806","-2,80%","1,1812"
